species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,temp_min,temp_max,temp_preferred,temp_range,fecundity_max,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,dev_place,sp_richness,iucn_category,fishbase_name
Ablennes hians,Belonidae,10402500,habitat_coastal,reef-associated,140,NA,38.09834531,0.580917618,4.481651192,Actinopteri,0.029410133,0.029410133,220.625,0.0013065,8.5,NA,0.21664809,29.97405829,NA,0.21664809,29.97405829,-1,1,4,1: mid/low,1,972,Ablennes,Beloniformes,NA,NA,27,NA,NA,NA,elongated,NA,NA,planktonic,47,LC,Flat needlefish
Acanthistius brasilianus,Serranidae,772500,habitat_benthic,benthopelagic,60,NA,43325.50972,0.392822614,4.024033319,Actinopteri,0.04451615,0.04451615,4.17,0.003348104,0.469069439,NA,0.054315039,53.1847708,NA,0.054315039,53.1847708,-2,2,2,2: low/mid,2,351,Acanthistius,Perciformes/Serranoidei,NA,NA,15,NA,NA,NA,fusiform / normal,NA,NA,NA,101,DD,Argentine seabass
Acanthocybium solandri,Scombridae,193442500,pelagic,pelagic-oceanic,250,NA,23280.69491,0.522684226,4.26,Actinopteri,24.63249455,24.63249455,537466.5429,5.55,91382,NA,1468.929952,42.09190101,NA,1468.929952,42.09190101,3,2,3,6: high/mid,6,89,Acanthocybium,Scombriformes,NA,NA,27,NA,6000000,1146395,elongated,NA,NA,planktonic,54,LC,Wahoo
Acanthopagrus berda,Sparidae,6690000,habitat_coastal,demersal,90,NA,141.2034009,0.547748847,3.547737166,Actinopteri,0.218337659,0.218337659,8.5,0.022602017,0.419377278,NA,0.067122307,30.2054696,NA,0.067122307,30.2054696,-2,2,2,2: low/mid,2,5526,Acanthopagrus,Eupercaria/misc,NA,NA,26,NA,NA,NA,short and / or deep,14,NA,NA,162,LC,Goldsilk seabream
Acanthopagrus bifasciatus,Sparidae,815000,habitat_reef,reef-associated,36.20000076,NA,1089.812244,0.48670769,3.445006623,Actinopteri,0.32,0.32,0.77,0.060991803,0.419377278,NA,0.046028762,24.71560293,NA,0.046028762,24.71560293,-2,1,4,1: mid/low,1,4543,Acanthopagrus,Eupercaria/misc,NA,NA,26,NA,1741666,1239670,fusiform / normal,19,NA,NA,162,LC,Twobar seabream
Acanthopagrus latus,Sparidae,4432500,habitat_coastal,demersal,40,yellowfin seabream,3432.653845,0.418755885,3.865267935,Actinopteri,0.3026,0.3026,4.17,0.20397299,0.419377278,0.146,0.049003042,30.9686077,33.7,0.146,33.7,-1,2,2,2: low/mid,2,6356,Acanthopagrus,Eupercaria/misc,NA,NA,27,NA,NA,1811434,short and / or deep,NA,NA,planktonic,162,DD,Yellowfin seabream
Acanthopagrus schlegelii,Sparidae,675000,habitat_coastal,demersal,50,blackhead seabream,2274.073215,0.44458551,3.304919528,Actinopteri,0.32,0.32,0.902079429,0.029410133,0.419377278,0.364,0.065655158,29.5194732,NA,0.364,29.5194732,-1,1,4,1: mid/low,1,6531,Acanthopagrus,Eupercaria/misc,NA,NA,17,NA,NA,NA,short and / or deep,NA,239.69478043478261,planktonic,162,LC,Blackhead seabream
Acanthurus sohal,Acanthuridae,955000,habitat_reef,reef-associated,40,NA,202.6964938,0.530369312,2.146866126,Actinopteri,0.060991803,0.060991803,0.77,0.020686774,0.364,NA,0.044087078,35.44937462,NA,0.044087078,35.44937462,-2,2,2,2: low/mid,2,4740,Acanthurus,Acanthuriformes,24,30,26,6,NA,NA,short and / or deep,NA,NA,NA,84,LC,Sohal surgeonfish
Acipenser transmontanus,Acipenseridae,350000,habitat_coastal,demersal,610,NA,3863.42155,0.08634626,3.25,Actinopteri,0.0034,0.0034,119173.5,6.04e-4,0.631142013,NA,0.095338433,51.78197897,NA,0.095338433,51.78197897,-2,2,2,2: low/mid,2,2594,Acipenser,Acipenseriformes,0,23.2999992370605,16,23.2999992370605,2349500,1374050,elongated,104,63.689,NA,25,LC,White sturgeon
Aethaloperca rogaa,Serranidae,10922500,habitat_reef,reef-associated,60,NA,161.7523983,0.392822614,4.201476984,Actinopteri,0.027348309,0.027348309,39.83,0.00123027,0.275045451,NA,0.118549014,29.61158528,NA,0.118549014,29.61158528,-1,1,4,1: mid/low,1,6441,Aethaloperca,Perciformes/Serranoidei,NA,NA,27,NA,NA,NA,short and / or deep,NA,NA,NA,101,LC,Redmouth grouper
Albula vulpes,Albulidae,1525000,habitat_lagoon,reef-associated,104,bonefish,847.2094178,0.463332904,3.73,Actinopteri,0.029410133,0.029410133,69.37218463,0.004257833,0.3026,0.65,0.06338311,30.63762531,NA,0.65,30.63762531,-1,2,2,2: low/mid,2,228,Albula,Albuliformes,NA,NA,26,NA,1700000,1050000,fusiform / normal,NA,290.5,planktonic,13,NT,Bonefish
Alepes djedaba,Carangidae,8030000,habitat_reef,reef-associated,40,NA,261.8920556,1.017167166,3.379632579,Actinopteri,0.190553387,0.190553387,69.37218463,0.002075459,0.32,NA,0.054001206,37.50322986,NA,0.054001206,37.50322986,-2,2,2,2: low/mid,2,1889,Alepes,Carangiformes,NA,NA,27,NA,NA,NA,fusiform / normal,NA,NA,planktonic,148,LC,Shrimp scad
Allocyttus niger,Oreosomatidae,2897500,habitat_deep,bathypelagic,47,NA,53915.20279,0.064718913,3.566415446,Actinopteri,0.222006046,0.222006046,47.26664184,0.02836049,0.75925,NA,0.070330321,57.42709887,NA,0.070330321,57.42709887,-2,2,2,2: low/mid,2,12962,Allocyttus,Zeiformes,NA,NA,9,NA,62000,33500,short and / or deep,100,NA,NA,10,NA,Black oreo
Allothunnus fallai,Scombridae,48347500,pelagic,pelagic-oceanic,105,NA,451.3659255,0.596518223,3.7,Actinopteri,5.55,5.55,91382,0.027348309,23.22898081,NA,3.124797092,30.69430762,NA,3.124797092,30.69430762,0,2,6,5: mid/mid,5,91,Allothunnus,Scombriformes,NA,NA,NA,NA,NA,NA,fusiform / normal,NA,NA,NA,54,LC,Slender tuna
Alosa fallax,Clupeidae,2272500,migratory,pelagic-neritic,60,NA,40.65587962,0.806181057,4.03,Actinopteri,0.021204,0.021204,69.37218463,0.0013065,0.235587588,NA,0.076854902,35.56004388,NA,0.076854902,35.56004388,-2,2,2,2: low/mid,2,5355,Alosa,Clupeiformes,NA,NA,16,NA,200000,137500,fusiform / normal,25,NA,NA,15,LC,Twaite shad
Alosa immaculata,Clupeidae,90000,migratory,pelagic-neritic,39,NA,984.1313685,0.989034626,3.98,Actinopteri,0.0013065,0.0013065,42.10249306,6.45e-6,0.021204,NA,0.007108207,36.54466663,NA,0.007108207,36.54466663,-3,2,2,2: low/mid,2,105,Alosa,Clupeiformes,NA,NA,13,NA,171554.66666666666,45868.5,fusiform / normal,7,NA,NA,15,VU,Pontic shad
Alosa pseudoharengus,Clupeidae,887500,habitat_coastal,pelagic-neritic,40,NA,24511.5196,1.842742708,3.39,Actinopteri,0.218337659,0.218337659,69.37218463,0.021204,0.419377278,NA,0.063103996,29.96572933,5.484285714,0.063103996,5.484285714,-2,1,4,1: mid/low,1,1583,Alosa,Clupeiformes,NA,NA,8,NA,311519.6666666667,102800,fusiform / normal,9,NA,non-planktonic,15,LC,Alewife
Alosa sapidissima,Clupeidae,690000,pelagic,pelagic-neritic,76,NA,4287.867606,1.012650669,3.48,Actinopteri,0.060991803,0.060991803,69.37218463,0.020686774,1.699264547,NA,0.090600331,31.1198105,8.916666667,0.090600331,8.916666667,-2,1,4,1: mid/low,1,1584,Alosa,Clupeiformes,NA,NA,10,NA,424326.6,265500,fusiform / normal,13,NA,planktonic,15,LC,American shad
Amblygaster sirm,Clupeidae,9910000,habitat_coastal,reef-associated,27,NA,71364.80881,1.416628191,2.978049609,Actinopteri,2.14e-4,2.14e-4,10.48565514,8.13e-6,0.259189177,NA,0.011118755,46.50725303,NA,0.011118755,46.50725303,-2,2,2,2: low/mid,2,1501,Amblygaster,Clupeiformes,NA,NA,NA,NA,49949,57349.5,fusiform / normal,8,NA,NA,15,LC,Spotted sardinella
Ammodytes personatus,Ammodytidae,1835000,habitat_coastal,demersal,15,NA,2935070.704,0.344053886,3.1525,Actinopteri,0.027348309,0.027348309,0.428875606,8.13e-6,0.218337659,NA,0.007966314,49.7468625,NA,0.007966314,49.7468625,-3,2,2,2: low/mid,2,487,Ammodytes,Perciformes/Uranoscopoidei,NA,NA,15,NA,NA,NA,elongated,3,NA,planktonic,33,NA,Pacific sandlance
Amphichthys cryptocentrus,Batrachoididae,972500,sedentary,reef-associated,40,NA,3263.489613,0.57223899,3.75,Actinopteri,0.218337659,0.218337659,69.37218463,0.020686774,0.419377278,NA,0.042511287,28.27429759,NA,0.042511287,28.27429759,-2,1,4,1: mid/low,1,967,Amphichthys,Batrachoidiformes,NA,NA,NA,NA,NA,NA,elongated,NA,NA,NA,83,LC,Bocon toadfish
Anarhichas denticulatus,Anarhichadidae,3635000,habitat_deep,benthopelagic,180,NA,25393.14083,0.100670808,4.05205074,Actinopteri,0.25,0.25,69.37218463,0.007726488,7.78,NA,0.260037564,45.41195355,NA,0.260037564,45.41195355,-1,2,2,2: low/mid,2,3810,Anarhichas,Perciformes/Zoarcoidei,NA,NA,4,NA,NA,NA,elongated,NA,NA,NA,5,EN,Northern wolffish
